Launch_Site;Launch_Lat;Launch_Long;TargetPoint;Target_Lat;Target_Long
CCAFS LC-40;28.562302;-80.577356;highway;28.5622;-80.57061
CCAFS LC-40;28.562302;-80.577356;coast;28.56217;-80.56768
CCAFS LC-40;28.562302;-80.577356;railway;28.57216;-80.5853
CCAFS LC-40;28.562302;-80.577356;city_titsuville;28.61225;-80.80891
CCAFS LC-40;28.562302;-80.577356;city_Cape-Canavrel;28.40174;-80.60424
CCAFS SLC-40;28.563197;-80.57682;highway;28.56331;-80.57078
CCAFS SLC-40;28.563197;-80.57682;coast;28.56331;-80.56797
CCAFS SLC-40;28.563197;-80.57682;railway;28.57216;-80.5853
CCAFS SLC-40;28.563197;-80.57682;city_titsuville;28.61225;-80.80891
CCAFS SLC-40;28.563197;-80.57682;city_Cape-Canavrel;28.40174;-80.60424
KSC LC-39A;28.573255;-80.646895;highway;28.57224;-80.65411
KSC LC-39A;28.573255;-80.646895;coast;28.57518;-80.57167
KSC LC-39A;28.573255;-80.646895;railway;28.57224;-80.65548
KSC LC-39A;28.573255;-80.646895;city_titsuville;28.61225;-80.80891
KSC LC-39A;28.573255;-80.646895;city_Cape-Canavrel;28.40174;-80.60424
VAFB SLC-4E;34.632834;-120.61074;highway;34.63296;-120.62486
VAFB SLC-4E;34.632834;-120.61074;coast;34.63296;-120.6264
VAFB SLC-4E;34.632834;-120.61074;railway;34.63907;-120.47543
VAFB SLC-4E;34.632834;-120.61074;city_lompoc;34.63843;-120.45891
